Name,Price,Rate,property,status,floor,transaction,facing,overlooking,ownership,parking,bathroom,balcony,city,location,Rate_per_sqft,bedroom,carpet_area_sqft,total_area,Area_Unit,Area,Property_Type,carpet_area(in sqft),Z_Score,total_area(sqft)
3 BHK House for Sale in Palam Vihar Pocket B Gurgaon,12000000,6263.0,Balaji Properties,Ready to Move,3 out of 3,Resale,East,Main Road,Freehold,2,3.0,3.0,Gurgaon, Palam Vihar Pocket B Gurgaon,6263.0,3,66.0,1916.01,sqyrd,66.0,House,594.0,-0.5936843041636891,1916.01
"2 BHK Flat for Sale in Dwarka Mor, New Delhi",3100000,46393.0,Khatu Shyam Builders,Ready to Move,2 out of 4,New Property,West,Garden/Park,Freehold,2,2.0,1.0,Delhi, Dwarka Mor,46393.0,2,50.0,66.82,sqyrd,50.0,Flat,450.0,1.2989064414477438,66.82
10 BHK Villa for Sale in New Friends Colony New Delhi,200000000,8231.0,Shriram Properties,Ready to Move,3 out of 3,Resale,South - East,"Garden/Park, Main Road",Freehold,1,10.0,8.0,Delhi, New Friends Colony New Delhi,8231.0,10,479.0,24298.38,sqyrd,479.0,Villa,4311.0,-0.19392786633203388,24298.38
"2 BHK Flat for Sale in DDA Metro View Apartments, Dwarka Sector 13, New Delhi",10700000,4861.0,Jai Ambay Associates,Ready to Move,Ground out of 4,Resale,North,Garden/Park,Freehold,1,2.0,2.0,Delhi, DDA Metro View Apartments,4861.0,2,1100.0,2201.19,sqft,1100.0,Flat,1100.0,-0.32575669126830165,2201.19
"2 BHK Flat for Sale in Govindpuri Main, New Delhi",3500000,11849.0,Builders World Developer,Ready to Move,12 out of 34,New Property,North - East,"Garden/Park, Pool, Main Road",Freehold,1,1.0,4.0,Delhi, Govindpuri Main,11849.0,2,75.0,295.38,sqyrd,75.0,Flat,675.0,-0.05239769166751851,295.38
"3 BHK Flat for Sale in Whiteland The ASPEN, Sector 76, Delhi Gurgaon Expressway, Gurgaon",34800000,10303.0,Hind Realty Solutions,Poss. by Nov '27,1 out of 4,New Property,East,Main Road,Freehold,1,3.0,2.0,Gurgaon, Whiteland The ASPEN,10303.0,3,2937.0,3377.66,sqft,2937.0,Flat,2937.0,-0.06705046259623022,3377.66
"3 BHK Flat for Sale in RWA Residential Society, Sector 46, Gurgaon",17000000,3443.0,Parnami Infratech Pvt. Ltd,Ready to Move,16 out of 20,New Property,North - East,Main Road,Freehold,2,3.0,3.0,Gurgaon, RWA Residential Society,3443.0,3,1405.0,4937.55,sqft,1405.0,Flat,1405.0,-0.9612851539706778,4937.55
"3 BHK Flat for Sale in Sector 86, Faridabad",6500000,4915.0,Salasar Estate,Ready to Move,1 out of 4,Resale,North - East,Main Road,Freehold,1,2.0,1.0,Faridabad, Sector 86,4915.0,3,1688.0,1322.48,sqft,1688.0,Flat,1688.0,-0.31444791151426393,1322.48
"3 BHK Flat for Sale in Dwarka Mor, New Delhi",5160000,15152.0,OM Documentation & Associates ,Ready to Move,20 out of 28,New Property,East,"Garden/Park, Pool, Main Road",Freehold,2,2.0,2.0,Delhi, Dwarka Mor,15152.0,3,1040.0,340.55,sqft,1040.0,Flat,1040.0,0.07681020410829527,340.55
"2 BHK Flat for Sale in Emerald Heights, Sector 88, Faridabad",7600000,6483.0,Raj Properties,Ready to Move,3 out of 4,Resale,North,"Garden/Park, Main Road",Freehold,1,2.0,2.0,Faridabad, Emerald Heights,6483.0,2,1004.0,1172.3,sqft,1004.0,Flat,1004.0,-0.11007065105106453,1172.3
"3 BHK Flat for Sale in Signature Global Park 4 and 5, Sohna, Gurgaon",7650000,23214.0,Agarwal Realtors,Ready to Move,1 out of 4,Resale,North - West,Garden/Park,Freehold,1,2.0,2.0,Gurgaon, Signature Global Park 4 and 5,23214.0,3,1450.0,329.54,sqft,1450.0,Flat,1450.0,1.615961796927894,329.54
"3 BHK Flat for Sale in Experion Windchants, Sector 112, Gurgaon",36000000,19853.0,Deal Realtors,Ready to Move,9 out of 20,Resale,North - East,"Garden/Park, Pool",Freehold,0,3.0,3.0,Gurgaon, Experion Windchants,19853.0,3,2850.0,1813.33,sqft,2850.0,Flat,2850.0,1.1778389401189264,1813.33
"4 BHK Flat for Sale in DLF The Summit, Sector 54, Gurgaon",67500000,6500.0,Mehta Propmart Pvt. Ltd.,Ready to Move,10 out of 20,Resale,North - East,"Garden/Park, Pool, Main Road",Freehold,0,4.0,3.0,Gurgaon, DLF The Summit,6500.0,4,1220.0,10384.62,sqft,1220.0,Flat,1220.0,-0.5627901901905487,10384.62
"3 BHK Flat for Sale in PAREENA COBAN RESIDENCES, Sector 99A, Delhi Gurgaon Expressway, Gurgaon",12900000,8889.0,Aar Pee Ess Associates,Ready to Move,Ground out of 3,New Property,North - East,"Garden/Park, Main Road",Freehold,0,3.0,2.0,Gurgaon, PAREENA COBAN RESIDENCES,8889.0,3,1600.0,1451.23,sqft,1600.0,Flat,1600.0,-0.2513723071448408,1451.23
